Processed 170000 numbers: avg=1281499.32, median=433185.30, uniques=167156
Processed 171000 numbers: avg=1282984.65, median=435673.70, uniques=168117
Processed 172000 numbers: avg=1286634.18, median=436599.70, uniques=169077
Processed 173000 numbers: avg=1288959.34, median=438311.50, uniques=170044
Processed 174000 numbers: avg=1295990.49, median=443020.20, uniques=171020
Processed 175000 numbers: avg=1300740.26, median=455171.20, uniques=171981
Processed 176000 numbers: avg=1303428.87, median=458639.10, uniques=172955
Processed 177000 numbers: avg=1306729.46, median=462836.60, uniques=173920
Processed 178000 numbers: avg=1310583.44, median=465532.60, uniques=174884
Processed 179000 numbers: avg=1314892.91, median=469805.30, uniques=175850
Processed 180000 numbers: avg=1320740.42, median=474126.80, uniques=176811
Processed 181000 numbers: avg=1326193.65, median=478797.80, uniques=177771
Processed 182000 numbers: avg=1329081.24, median=479333.90, uniques=178740
Processed 183000 numbers: avg=1331940.06, median=480230.80, uniques=179704
Processed 184000 numbers: avg=1335851.62, median=484321.60, uniques=180658
Processed 185000 numbers: avg=1339868.94, median=487391.80, uniques=181615
Processed 186000 numbers: avg=1341059.32, median=487391.80, uniques=182577
Processed 187000 numbers: avg=1455663.51, median=491022.90, uniques=183543
Processed 188000 numbers: avg=1457359.37, median=491258.30, uniques=184518
Processed 189000 numbers: avg=1458908.93, median=491425.90, uniques=185478
Processed 190000 numbers: avg=1460206.64, median=491472.70, uniques=186444
Processed 191000 numbers: avg=1462104.03, median=494457.00, uniques=187414
Processed 192000 numbers: avg=1463075.99, median=496334.80, uniques=188377
Processed 193000 numbers: avg=1466212.74, median=499019.90, uniques=189343
Processed 194000 numbers: avg=1476888.56, median=499231.70, uniques=190303
Processed 195000 numbers: avg=1514761.22, median=502570.60, uniques=191266
Processed 196000 numbers: avg=1517630.98, median=508017.20, uniques=192221
Processed 197000 numbers: avg=1598815.14, median=510326.00, uniques=193177
Processed 198000 numbers: avg=1604243.69, median=513393.40, uniques=194142
Processed 199000 numbers: avg=1607687.72, median=514575.10, uniques=195103
Processed 200000 numbers: avg=1613625.39, median=516102.80, uniques=196052
Processed 201000 numbers: avg=1614945.66, median=517156.80, uniques=197021
Processed 202000 numbers: avg=1618560.94, median=522752.00, uniques=197985
Processed 203000 numbers: avg=1621707.12, median=527071.10, uniques=198939
Processed 204000 numbers: avg=1623589.92, median=530341.60, uniques=199896
Processed 205000 numbers: avg=1625657.31, median=534906.90, uniques=200849
Processed 206000 numbers: avg=1645463.87, median=537510.40, uniques=201811
Processed 207000 numbers: avg=1650509.60, median=538519.10, uniques=202758
Processed 208000 numbers: avg=1698905.99, median=540422.70, uniques=203714
Processed 209000 numbers: avg=1700121.29, median=540698.70, uniques=204678
Processed 210000 numbers: avg=1702095.75, median=543062.50, uniques=205632
Processed 211000 numbers: avg=1705902.65, median=545638.50, uniques=206587
Processed 212000 numbers: avg=1707427.95, median=547120.50, uniques=207557
Processed 213000 numbers: avg=1710814.50, median=552361.40, uniques=208520
Processed 214000 numbers: avg=1716095.26, median=553681.70, uniques=209480
Processed 215000 numbers: avg=1718716.51, median=553942.40, uniques=210433
Processed 216000 numbers: avg=1722366.03, median=554642.30, uniques=211389
Processed 217000 numbers: avg=1724568.63, median=555392.80, uniques=212342
Processed 218000 numbers: avg=1728084.55, median=555392.80, uniques=213301
Processed 219000 numbers: avg=1731204.14, median=560292.40, uniques=214259
Processed 220000 numbers: avg=1732719.31, median=561330.80, uniques=215212
Processed 221000 numbers: avg=1742035.61, median=566406.20, uniques=216167
Processed 222000 numbers: avg=1747482.68, median=571591.30, uniques=217126
Processed 223000 numbers: avg=1748342.14, median=572361.20, uniques=218094
Processed 224000 numbers: avg=1750111.34, median=574782.90, uniques=219057
Processed 225000 numbers: avg=1754730.40, median=581363.80, uniques=220015
Processed 226000 numbers: avg=1755616.08, median=583541.70, uniques=220982
Processed 227000 numbers: avg=1758590.30, median=590773.90, uniques=221927
Processed 228000 numbers: avg=1761734.91, median=592629.20, uniques=222883
Processed 229000 numbers: avg=1763617.28, median=597597.10, uniques=223839
Processed 230000 numbers: avg=1777909.23, median=602344.40, uniques=224790
Processed 231000 numbers: avg=1782193.57, median=610186.40, uniques=225747
Processed 232000 numbers: avg=1782853.35, median=610186.40, uniques=226715
